Ant,Pol,Feed,FEM,NBP/PAMloc,PAM,SNAP,Port,SNAPloc,APriori,Comments,Optical Power (into node),Optical Power (into PAM),Optical Power (at FEM),Optical Power (through fiber),RF Power
147,E,132,202,1,185,6,e2,0,digital_ok,,,,,,
147,N,132,202,1,185,6,n0,0,digital_ok,,,,,,
148,E,126,220,2,186,6,e6,0,digital_ok,,,,,,
148,N,126,220,2,186,6,n4,0,digital_ok,,,,,,
149,E,130,208,3,187,6,e10,0,digital_ok,,,,,,
149,N,130,208,3,187,6,n8,0,digital_ok,,,,,,
150,E,134,206,4,188,94,e2,1,digital_ok,,,,,,
150,N,134,206,4,188,94,n0,1,digital_ok,,,,,,
167,E,129,199,5,189,94,e6,1,digital_ok,,,,,,
167,N,129,199,5,189,94,n4,1,digital_ok,,,,,,
188,E,,155,6,367,94,e10,1,RF_maintenance,,,,,,
188,N,,155,6,367,94,n8,1,RF_maintenance,,,,,,
168,E,138,207,7,191,116,e2,2,digital_ok,,,,,,
168,N,138,207,7,191,116,n0,2,digital_ok,,,,,,
169,E,128,214,8,192,116,e6,2,digital_ok,,,,,,
169,N,128,214,8,192,116,n4,2,digital_ok,,,,,,
170,E,136,201,9,193,116,e10,2,digital_ok,,,,,,
170,N,136,201,9,193,116,n8,2,digital_ok,,,,,,
189,E,141,212,10,194,76,e2,3,digital_ok,,,,,,
189,N,141,212,10,194,76,n0,3,digital_ok,,,,,,
190,E,137,200,11,195,76,e6,3,digital_ok,,,,,,
190,N,137,200,11,195,76,n4,3,digital_ok,,,,,,
191,E,131,197,12,196,76,e10,3,digital_ok,,,,,,
191,N,131,197,12,196,76,n8,3,digital_ok,,,,,,
#END,,,,,,,,,,,,,,,
NCM,9,,,,,,,,,,,,,,
FPS,13,,,,,,,,,,,,,,
PCH,12,,,,,,,,,,,,,,
