hpn,syspn,start_gpstime,stop_gpstime
SNPC000013,heraNode9Snap2,1281895218,
SNPC000063,heraNode1Snap0,1281895218,
SNPC000071,heraNode1Snap1,1281895218,
SNPC000067,heraNode1Snap2,1281895218,
SNPC000064,heraNode1Snap3,1281895218,
SNPC000066,heraNode2Snap0,1281895218,
SNPC000074,heraNode2Snap1,1281895218,
SNPC000079,heraNode2Snap2,1281895218,
SNPC000081,heraNode2Snap3,1281895218,
SNPC000056,heraNode8Snap3,1281895218,
SNPC000010,heraNode9Snap0,1281895218,
SNPC000019,heraNode7Snap0,1281895218,
SNPA000008,heraNode0Snap1,1281895218,
SNPA000024,heraNode0Snap2,1281895218,
SNPA000020,heraNode0Snap3,1281895218,
SNPC000021,heraNode7Snap1,1281895218,
SNPC000030,heraNode7Snap2,1281895218,
SNPC000023,heraNode8Snap0,1281895218,
SNPC000022,heraNode4Snap0,1281895218,
SNPC000048,heraNode4Snap2,1281895218,
SNPC000050,heraNode5Snap1,1281895218,
SNPC000018,heraNode5Snap3,1281895218,
SNPC000054,heraNode3Snap3,1281895218,
SNPC000001,heraNode3Snap0,1281895218,
SNPC000037,heraNode3Snap2,1281895218,
SNPC000031,heraNode7Snap3,1281895218,
SNPC000032,heraNode5Snap2,1281895218,
SNPC000058,heraNode5Snap0,1281895218,
SNPC000002,heraNode3Snap1,1281895218,
SNPC000014,heraNode10Snap0,1281895218,
SNPC000042,heraNode10Snap2,1281895218,
SNPC000045,heraNode10Snap3,1281895218,
SNPC000040,heraNode4Snap3,1281895218,
SNPC000016,heraNode10Snap1,1281895218,
SNPC000003,heraNode4Snap1,1281895218,
SNPC000060,heraNode12Snap1,1281895218,
SNPC000017,heraNode12Snap3,1281895218,
SNPC000044,heraNode8Snap1,1281895218,
SNPC000049,heraNode12Snap0,1281895218,
SNPC000020,heraNode12Snap2,1281895218,
SNPC000029,heraNode13Snap1,1281895218,
SNPC000047,heraNode13Snap3,1281895218,
SNPC000051,heraNode14Snap0,1281895218,
SNPC000028,heraNode14Snap2,1281895218,
SNPC000006,heraNode15Snap0,1281895218,
SNPC000009,heraNode15Snap2,1281895218,
SNPC000024,heraNode15Snap1,1281895218,
SNPC000076,heraNode15Snap3,1281895218,
SNPC000072,heraNode0Snap0,1281895218,
SNPC000055,heraNode8Snap2,1281895218,
SNPC000043,heraNode14Snap1,1281895218,
SNPC000038,heraNode14Snap3,1281895218,
SNPC000035,heraNode13Snap0,1281895218,
SNPC000015,heraNode13Snap2,1281895218,
SNPC000033,heraNode9Snap3,1281895218,
SNPC000011,heraNode9Snap1,1281895218,
WR-len4p0,heraNode0wr,1267092018,
RD02,heraNode0,1267092018,
WRA000096,heraNode1wr,1265796018,
RD18,heraNode1,1265796018,
WRA000089,heraNode3wr,1257674418,
RD06,heraNode3,1257674418,
RD41,heraNode4,1256551218,
WRA000084,heraNode5wr,1256551218,
RD42,heraNode5,1256551218,
WRA000028,heraNode7wr,1248775218,
RD31,heraNode7,1248775218,
WRA000086,heraNode8wr,1248775218,
RD45,heraNode8,1248775218,
WRA000083,heraNode9wr,1241949618,
RD46,heraNode9,1241949618,
WRA000093,heraNode10wr,1257674418,
RD20,heraNode10,1257674418,
WRA000091,heraNode12wr,1264500018,
RD15,heraNode12,1264500018,
WRA000094,heraNode13wr,1264500018,
RD19,heraNode13,1264500018,
WRA000097,heraNode14wr,1264500018,
RD43,heraNode14,1264500018,
WRA000006,heraNode15wr,1264240818,
RD40,heraNode15,1264240818,
WRA000087,heraNode4wr,1256551218,
WRA000201,heraNode2wr,126709238,
RD13,heraNode2,126709248,
